IATA,NAME,DATE,AWND,PGTM,PRCP,TAVG,TMAX,TMIN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT05,WT08
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/1,13.87,,0,60,72,51,290,290,28,35.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/2,19.46,,0,59,71,52,280,280,36,44.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/3,11.18,,0,62,71,56,280,300,19.9,25.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/4,7.61,,0.02,62,71,57,180,210,16.1,21,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/5,10.29,,0.03,67,76,57,290,290,23.9,29.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/6,16.78,,0,62,68,55,280,290,25.9,38,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/7,17,,0,59,67,54,270,300,31.1,42.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/8,15.43,,0,63,69,55,290,280,31.1,42.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/9,16.55,,0,62,79,55,280,290,32,38.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/10,14.09,,0,69,91,60,280,290,38,48.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/11,13.65,,0,71,79,60,280,280,25.9,35.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/12,16.55,,0,66,73,54,280,290,38.9,48.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/13,17.67,,0,60,70,54,270,280,30,38.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/14,15.21,,0,63,77,54,290,290,30,36,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/15,19.01,,0,61,69,54,270,280,42.9,55.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/16,20.8,,0,59,67,54,270,280,32,40.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/17,13.87,,0,60,67,56,280,270,25.1,34,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/18,19.01,,0,60,67,55,280,290,36,44.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/19,12.97,,0,61,78,53,280,290,30,36.9,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/20,11.18,,0,63,80,53,290,290,29.1,36,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/21,6.93,,0,72,98,61,290,290,25.9,32,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/22,10.96,,0,75,83,59,300,320,23,32,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/23,13.2,,0,65,74,56,300,300,28,34,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/24,13.42,,0,62,75,54,300,300,25.9,33.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/25,15.66,,0,61,69,55,300,300,28,34,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/26,14.32,,0,60,68,54,300,300,30,36,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/27,14.32,,0,60,69,55,300,290,31.1,38.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/28,19.24,,0,60,70,54,280,290,32,38.9,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/29,14.99,,0,60,67,55,270,290,25.1,35.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/6/30,14.32,,0,58,62,55,250,270,23.9,32,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/1,14.99,,0,58,67,55,270,280,25.9,35.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/2,16.33,,0,58,64,55,260,280,33.1,44.1,1,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/3,13.42,,0,59,65,56,280,280,23,31.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/4,6.26,,0,63,79,58,310,310,19.9,27.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/5,8.95,,0,70,74,65,280,270,23.9,29.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/6,11.86,,0,67,73,61,270,290,21,27.1,,,,,1
SFO,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",2022/7/7,16.78,,0,63,70,57,280,270,30,40.9,1,,,,1
